Topic:1
mentions :0.053374151470783976
major :0.010962769998914578
focus :0.010962769998914578
make :0.010962769998914578
access :0.010962769998914578
tcn :0.010962769998914578
commands :0.010962769998914578
software :0.010962769998914578
sap :0.010962769998914578
absolutely :0.010962769998914578
public :0.010962769998914578
lot :0.010962769998914578
round :0.010962769998914578
busy :0.010962769998914578
iphone :1.0854227721697602E-4
crack :1.0854227721697602E-4
adding :1.0854227721697602E-4
support :1.0854227721697602E-4
announced :1.0854227721697602E-4
youtube :1.0854227721697602E-4
video :1.0854227721697602E-4
guy :1.0854227721697602E-4
siri :1.0854227721697602E-4
pretty :1.0854227721697602E-4
love :1.0854227721697602E-4
rim :1.0854227721697602E-4
made :1.0854227721697602E-4
easy :1.0854227721697602E-4
switch :1.0854227721697602E-4
yeah :1.0854227721697602E-4
realized :1.0854227721697602E-4
ios :1.0854227721697602E-4
current :1.0854227721697602E-4
blackberry :1.0854227721697602E-4
user :1.0854227721697602E-4
bit :1.0854227721697602E-4
disappointed :1.0854227721697602E-4
android :1.0854227721697602E-4
things :1.0854227721697602E-4
sooo :1.0854227721697602E-4
glad :1.0854227721697602E-4
gave :1.0854227721697602E-4
sense :1.0854227721697602E-4
humor :1.0854227721697602E-4
great :1.0854227721697602E-4
personal :1.0854227721697602E-4
event :1.0854227721697602E-4
tonight :1.0854227721697602E-4
store :1.0854227721697602E-4
companies :1.0854227721697602E-4
experience :1.0854227721697602E-4
customer :1.0854227721697602E-4
service :1.0854227721697602E-4
apply :1.0854227721697602E-4
job :1.0854227721697602E-4
hope :1.0854227721697602E-4
call :1.0854227721697602E-4
lol :1.0854227721697602E-4
lmao :1.0854227721697602E-4
find :1.0854227721697602E-4
hide :1.0854227721697602E-4
body :1.0854227721697602E-4
registered :1.0854227721697602E-4
developer :1.0854227721697602E-4
appreciated :1.0854227721697602E-4
wow :1.0854227721697602E-4
deals :1.0854227721697602E-4
ipad :1.0854227721697602E-4
gen :1.0854227721697602E-4
offers :1.0854227721697602E-4
ipads :1.0854227721697602E-4
learning :1.0854227721697602E-4
trip :1.0854227721697602E-4

Topic:12
love :0.13627595597412914
word :0.05684783842051515
text :0.04550096448428458
project :0.04550096448428458
impressed :0.03415409054805401
add :0.03415409054805401
doc :0.03415409054805401
happy :0.02280721661182344
upgrade :0.02280721661182344
kind :0.02280721661182344
market :0.02280721661182344
thoughts :0.02280721661182344
played :0.02280721661182344
months :0.02280721661182344
everytime :0.02280721661182344
website :0.011460342675592875
brother :0.011460342675592875
dad :0.011460342675592875
girlfriend :0.011460342675592875
replaced :0.011460342675592875
alive :0.011460342675592875
sales :0.011460342675592875
covers :0.011460342675592875
backup :0.011460342675592875
remember :0.011460342675592875
school :0.011460342675592875
thinking :0.011460342675592875
profile :0.011460342675592875
webgl :0.011460342675592875
businesses :0.011460342675592875
intel :0.011460342675592875
improve :0.011460342675592875
mouse :0.011460342675592875
anti :0.011460342675592875
images :0.011460342675592875
foundation :0.011460342675592875
sucks :0.011460342675592875
won :0.011460342675592875
open :0.011460342675592875
suck :0.011460342675592875
u.s. :0.011460342675592875
engages :0.011460342675592875
freeze :0.011460342675592875
lose :0.011460342675592875
bug :0.011460342675592875
message :0.011460342675592875
iphone :1.1346873936230569E-4
crack :1.1346873936230569E-4
adding :1.1346873936230569E-4
support :1.1346873936230569E-4
announced :1.1346873936230569E-4
youtube :1.1346873936230569E-4
video :1.1346873936230569E-4
guy :1.1346873936230569E-4
siri :1.1346873936230569E-4
pretty :1.1346873936230569E-4
rim :1.1346873936230569E-4
made :1.1346873936230569E-4
easy :1.1346873936230569E-4
switch :1.1346873936230569E-4
yeah :1.1346873936230569E-4
realized :1.1346873936230569E-4
ios :1.1346873936230569E-4
current :1.1346873936230569E-4
blackberry :1.1346873936230569E-4
user :1.1346873936230569E-4
bit :1.1346873936230569E-4
disappointed :1.1346873936230569E-4
move :1.1346873936230569E-4
android :1.1346873936230569E-4
things :1.1346873936230569E-4
sooo :1.1346873936230569E-4
glad :1.1346873936230569E-4
gave :1.1346873936230569E-4
sense :1.1346873936230569E-4
humor :1.1346873936230569E-4
great :1.1346873936230569E-4
personal :1.1346873936230569E-4
event :1.1346873936230569E-4
tonight :1.1346873936230569E-4
store :1.1346873936230569E-4
companies :1.1346873936230569E-4
experience :1.1346873936230569E-4
customer :1.1346873936230569E-4
service :1.1346873936230569E-4
apply :1.1346873936230569E-4
job :1.1346873936230569E-4
hope :1.1346873936230569E-4
call :1.1346873936230569E-4
lol :1.1346873936230569E-4
lmao :1.1346873936230569E-4
find :1.1346873936230569E-4
hide :1.1346873936230569E-4
body :1.1346873936230569E-4
registered :1.1346873936230569E-4
developer :1.1346873936230569E-4
appreciated :1.1346873936230569E-4
wow :1.1346873936230569E-4
deals :1.1346873936230569E-4
ipad :1.1346873936230569E-4

Topic:13
reply :0.06331353468975104
working :0.06331353468975104
appreciated :0.03803867054214584
fixed :0.03803867054214584
media :0.03803867054214584
devices :0.025401238468343232
battery :0.025401238468343232
problem :0.025401238468343232
replacement :0.025401238468343232
totally :0.025401238468343232
center :0.025401238468343232
keeping :0.025401238468343232
motorola :0.025401238468343232
net :0.025401238468343232
account :0.025401238468343232
lmao :0.01276380639454063
registered :0.01276380639454063
developer :0.01276380639454063
featured :0.01276380639454063
website :0.01276380639454063
people :0.01276380639454063
bus :0.01276380639454063
update :0.01276380639454063
mommy :0.01276380639454063
sick :0.01276380639454063
simply :0.01276380639454063
happened :0.01276380639454063
edge :0.01276380639454063
strategy :0.01276380639454063
direct :0.01276380639454063
ibm :0.01276380639454063
neowin :0.01276380639454063
fine :0.01276380639454063
zune :0.01276380639454063
omg :0.01276380639454063
lync :0.01276380639454063
crash :0.01276380639454063
issue :0.01276380639454063
mole :0.01276380639454063
guardian :0.01276380639454063
plan :0.01276380639454063
telling :0.01276380639454063
questions :0.01276380639454063
end :0.01276380639454063
television :0.01276380639454063
watched :0.01276380639454063
retweets :0.01276380639454063
ain :0.01276380639454063
iphone :1.2637432073802604E-4
crack :1.2637432073802604E-4
adding :1.2637432073802604E-4
support :1.2637432073802604E-4
announced :1.2637432073802604E-4
youtube :1.2637432073802604E-4
video :1.2637432073802604E-4
guy :1.2637432073802604E-4
siri :1.2637432073802604E-4
pretty :1.2637432073802604E-4
love :1.2637432073802604E-4
rim :1.2637432073802604E-4
made :1.2637432073802604E-4
easy :1.2637432073802604E-4
switch :1.2637432073802604E-4
yeah :1.2637432073802604E-4
realized :1.2637432073802604E-4
ios :1.2637432073802604E-4
current :1.2637432073802604E-4
blackberry :1.2637432073802604E-4
user :1.2637432073802604E-4
bit :1.2637432073802604E-4
disappointed :1.2637432073802604E-4
move :1.2637432073802604E-4
android :1.2637432073802604E-4
things :1.2637432073802604E-4
sooo :1.2637432073802604E-4
glad :1.2637432073802604E-4
gave :1.2637432073802604E-4
sense :1.2637432073802604E-4
humor :1.2637432073802604E-4
great :1.2637432073802604E-4
personal :1.2637432073802604E-4
event :1.2637432073802604E-4
tonight :1.2637432073802604E-4
store :1.2637432073802604E-4
companies :1.2637432073802604E-4
experience :1.2637432073802604E-4
customer :1.2637432073802604E-4
service :1.2637432073802604E-4
apply :1.2637432073802604E-4
job :1.2637432073802604E-4
hope :1.2637432073802604E-4
call :1.2637432073802604E-4
lol :1.2637432073802604E-4
find :1.2637432073802604E-4
hide :1.2637432073802604E-4
body :1.2637432073802604E-4
wow :1.2637432073802604E-4
deals :1.2637432073802604E-4
ipad :1.2637432073802604E-4
gen :1.2637432073802604E-4

Topic:14
mac :0.07595096676355365
people :0.05067610261594844
make :0.05067610261594844
find :0.03803867054214584
sweet :0.03803867054214584
mobile :0.03803867054214584
minutes :0.03803867054214584
made :0.025401238468343232
body :0.025401238468343232
air :0.025401238468343232
application :0.025401238468343232
mail :0.025401238468343232
sharing :0.025401238468343232
perfect :0.025401238468343232
hate :0.025401238468343232
left :0.025401238468343232
realized :0.01276380639454063
yesterday :0.01276380639454063
info :0.01276380639454063
umber :0.01276380639454063
desktop :0.01276380639454063
brand :0.01276380639454063
notifications :0.01276380639454063
wifi :0.01276380639454063
sync :0.01276380639454063
war :0.01276380639454063
alright :0.01276380639454063
team :0.01276380639454063
explains :0.01276380639454063
bye :0.01276380639454063
turns :0.01276380639454063
innovation :0.01276380639454063
lots :0.01276380639454063
launch :0.01276380639454063
week :0.01276380639454063
outlook :0.01276380639454063
sucks :0.01276380639454063
theme :0.01276380639454063
starting :0.01276380639454063
speed :0.01276380639454063
smm :0.01276380639454063
song :0.01276380639454063
ways :0.01276380639454063
competition :0.01276380639454063
iphone :1.2637432073802604E-4
crack :1.2637432073802604E-4
adding :1.2637432073802604E-4
support :1.2637432073802604E-4
announced :1.2637432073802604E-4
youtube :1.2637432073802604E-4
video :1.2637432073802604E-4
guy :1.2637432073802604E-4
siri :1.2637432073802604E-4
pretty :1.2637432073802604E-4
love :1.2637432073802604E-4
rim :1.2637432073802604E-4
easy :1.2637432073802604E-4
switch :1.2637432073802604E-4
yeah :1.2637432073802604E-4
ios :1.2637432073802604E-4
current :1.2637432073802604E-4
blackberry :1.2637432073802604E-4
user :1.2637432073802604E-4
bit :1.2637432073802604E-4
disappointed :1.2637432073802604E-4
move :1.2637432073802604E-4
android :1.2637432073802604E-4
things :1.2637432073802604E-4
sooo :1.2637432073802604E-4
glad :1.2637432073802604E-4
gave :1.2637432073802604E-4
sense :1.2637432073802604E-4
humor :1.2637432073802604E-4
great :1.2637432073802604E-4
personal :1.2637432073802604E-4
event :1.2637432073802604E-4
tonight :1.2637432073802604E-4
store :1.2637432073802604E-4
companies :1.2637432073802604E-4
experience :1.2637432073802604E-4
customer :1.2637432073802604E-4
service :1.2637432073802604E-4
apply :1.2637432073802604E-4
job :1.2637432073802604E-4
hope :1.2637432073802604E-4
call :1.2637432073802604E-4
lol :1.2637432073802604E-4
lmao :1.2637432073802604E-4
hide :1.2637432073802604E-4
registered :1.2637432073802604E-4
developer :1.2637432073802604E-4
appreciated :1.2637432073802604E-4
wow :1.2637432073802604E-4
deals :1.2637432073802604E-4
ipad :1.2637432073802604E-4
gen :1.2637432073802604E-4
offers :1.2637432073802604E-4
ipads :1.2637432073802604E-4
learning :1.2637432073802604E-4
trip :1.2637432073802604E-4

Topic:15
siri :0.16470975529463405
iphone :0.08789641171952156
amazing :0.07692307692307693
things :0.044003072533743005
call :0.033029737737298365
music :0.033029737737298365
addicted :0.033029737737298365
sooo :0.022056402940853724
job :0.022056402940853724
longer :0.022056402940853724
searches :0.022056402940853724
bing :0.022056402940853724
humor :0.011083068144409087
hide :0.011083068144409087
lmfao :0.011083068144409087
forward :0.011083068144409087
texts :0.011083068144409087
nice :0.011083068144409087
upgraded :0.011083068144409087
meet :0.011083068144409087
link :0.011083068144409087
club :0.011083068144409087
products :0.011083068144409087
guess :0.011083068144409087
missing :0.011083068144409087
logged :0.011083068144409087
bullying :0.011083068144409087
device :0.011083068144409087
small :0.011083068144409087
platform :0.011083068144409087
bite :0.011083068144409087
chrome :0.011083068144409087
idea :0.011083068144409087
greenwich :0.011083068144409087
kinect :0.011083068144409087
speech :0.011083068144409087
dynamics :0.011083068144409087
university :0.011083068144409087
fast :0.011083068144409087
boring :0.011083068144409087
trash :0.011083068144409087
giving :0.011083068144409087
garbage :0.011083068144409087
crack :1.097333479644464E-4
adding :1.097333479644464E-4
support :1.097333479644464E-4
announced :1.097333479644464E-4
youtube :1.097333479644464E-4
video :1.097333479644464E-4
guy :1.097333479644464E-4
pretty :1.097333479644464E-4
love :1.097333479644464E-4
rim :1.097333479644464E-4
made :1.097333479644464E-4
easy :1.097333479644464E-4
switch :1.097333479644464E-4
yeah :1.097333479644464E-4
realized :1.097333479644464E-4
ios :1.097333479644464E-4
current :1.097333479644464E-4
blackberry :1.097333479644464E-4
user :1.097333479644464E-4
bit :1.097333479644464E-4
disappointed :1.097333479644464E-4
move :1.097333479644464E-4
android :1.097333479644464E-4
glad :1.097333479644464E-4
gave :1.097333479644464E-4
sense :1.097333479644464E-4
great :1.097333479644464E-4
personal :1.097333479644464E-4
event :1.097333479644464E-4
tonight :1.097333479644464E-4
store :1.097333479644464E-4
companies :1.097333479644464E-4
experience :1.097333479644464E-4
customer :1.097333479644464E-4
service :1.097333479644464E-4
apply :1.097333479644464E-4
hope :1.097333479644464E-4
lol :1.097333479644464E-4
lmao :1.097333479644464E-4
find :1.097333479644464E-4
body :1.097333479644464E-4
registered :1.097333479644464E-4
developer :1.097333479644464E-4
appreciated :1.097333479644464E-4
wow :1.097333479644464E-4
deals :1.097333479644464E-4
ipad :1.097333479644464E-4
gen :1.097333479644464E-4
offers :1.097333479644464E-4
ipads :1.097333479644464E-4
learning :1.097333479644464E-4
trip :1.097333479644464E-4
hong :1.097333479644464E-4
kong :1.097333479644464E-4
gotta :1.097333479644464E-4
hand :1.097333479644464E-4
iphones :1.097333479644464E-4

Topic:16
lol :0.09873043263897449
wow :0.08640453592998891
back :0.07407863922100333
great :0.06175274251201775
works :0.06175274251201775
ipad :0.04942684580303217
gen :0.03710094909404659
cloud :0.03710094909404659
deals :0.024775052385061013
offers :0.024775052385061013
red :0.024775052385061013
missed :0.024775052385061013
stop :0.024775052385061013
server :0.024775052385061013
racketeering :0.024775052385061013
follow :0.024775052385061013
support :0.012449155676075435
bring :0.012449155676075435
set :0.012449155676075435
drain :0.012449155676075435
man :0.012449155676075435
life :0.012449155676075435
lead :0.012449155676075435
desire :0.012449155676075435
unveiled :0.012449155676075435
wallet :0.012449155676075435
rich :0.012449155676075435
yahoo :0.012449155676075435
bought :0.012449155676075435
deal :0.012449155676075435
services :0.012449155676075435
respect :0.012449155676075435
preview :0.012449155676075435
iphone :1.232589670898558E-4
crack :1.232589670898558E-4
adding :1.232589670898558E-4
announced :1.232589670898558E-4
youtube :1.232589670898558E-4
video :1.232589670898558E-4
guy :1.232589670898558E-4
siri :1.232589670898558E-4
pretty :1.232589670898558E-4
love :1.232589670898558E-4
rim :1.232589670898558E-4
made :1.232589670898558E-4
easy :1.232589670898558E-4
switch :1.232589670898558E-4
yeah :1.232589670898558E-4
realized :1.232589670898558E-4
ios :1.232589670898558E-4
current :1.232589670898558E-4
blackberry :1.232589670898558E-4
user :1.232589670898558E-4
bit :1.232589670898558E-4
disappointed :1.232589670898558E-4
move :1.232589670898558E-4
android :1.232589670898558E-4
things :1.232589670898558E-4
sooo :1.232589670898558E-4
glad :1.232589670898558E-4
gave :1.232589670898558E-4
sense :1.232589670898558E-4
humor :1.232589670898558E-4
personal :1.232589670898558E-4
event :1.232589670898558E-4
tonight :1.232589670898558E-4
store :1.232589670898558E-4
companies :1.232589670898558E-4
experience :1.232589670898558E-4
customer :1.232589670898558E-4
service :1.232589670898558E-4
apply :1.232589670898558E-4
job :1.232589670898558E-4
hope :1.232589670898558E-4
call :1.232589670898558E-4
lmao :1.232589670898558E-4
find :1.232589670898558E-4
hide :1.232589670898558E-4
body :1.232589670898558E-4
registered :1.232589670898558E-4
developer :1.232589670898558E-4
appreciated :1.232589670898558E-4
ipads :1.232589670898558E-4
learning :1.232589670898558E-4
trip :1.232589670898558E-4
hong :1.232589670898558E-4
kong :1.232589670898558E-4
gotta :1.232589670898558E-4
hand :1.232589670898558E-4
iphones :1.232589670898558E-4
apps :1.232589670898558E-4
dark :1.232589670898558E-4
side :1.232589670898558E-4
hey :1.232589670898558E-4
send :1.232589670898558E-4
free :1.232589670898558E-4
publicly :1.232589670898558E-4
burn :1.232589670898558E-4
mac :1.232589670898558E-4
air :1.232589670898558E-4

Topic:17
phone :0.1066152003194463
windows :0.09330493810728072
pretty :0.06668441368294956
year :0.053374151470783976
update :0.040063889258618396
facebook :0.040063889258618396
gonna :0.040063889258618396
makes :0.040063889258618396
stores :0.040063889258618396
dev :0.040063889258618396
side :0.026753627046452812
mom :0.026753627046452812
offer :0.026753627046452812
thing :0.026753627046452812
free :0.013443364834287236
publicly :0.013443364834287236
devices :0.013443364834287236
upgrade :0.013443364834287236
eye :0.013443364834287236
ahead :0.013443364834287236
linkedin :0.013443364834287236
process :0.013443364834287236
win :0.013443364834287236
omnitouch :0.013443364834287236
sharepoint :0.013443364834287236
calls :0.013443364834287236
phones :0.013443364834287236
privacy :0.013443364834287236
reliable :0.013443364834287236
problems :0.013443364834287236
asap :0.013443364834287236
bloody :0.013443364834287236
iphone :1.331026221216558E-4
crack :1.331026221216558E-4
adding :1.331026221216558E-4
support :1.331026221216558E-4
announced :1.331026221216558E-4
youtube :1.331026221216558E-4
video :1.331026221216558E-4
guy :1.331026221216558E-4
siri :1.331026221216558E-4
love :1.331026221216558E-4
rim :1.331026221216558E-4
made :1.331026221216558E-4
easy :1.331026221216558E-4
switch :1.331026221216558E-4
yeah :1.331026221216558E-4
realized :1.331026221216558E-4
ios :1.331026221216558E-4
current :1.331026221216558E-4
blackberry :1.331026221216558E-4
user :1.331026221216558E-4
bit :1.331026221216558E-4
disappointed :1.331026221216558E-4
move :1.331026221216558E-4
android :1.331026221216558E-4
things :1.331026221216558E-4
sooo :1.331026221216558E-4
glad :1.331026221216558E-4
gave :1.331026221216558E-4
sense :1.331026221216558E-4
humor :1.331026221216558E-4
great :1.331026221216558E-4
personal :1.331026221216558E-4
event :1.331026221216558E-4
tonight :1.331026221216558E-4
store :1.331026221216558E-4
companies :1.331026221216558E-4
experience :1.331026221216558E-4
customer :1.331026221216558E-4
service :1.331026221216558E-4
apply :1.331026221216558E-4
job :1.331026221216558E-4
hope :1.331026221216558E-4
call :1.331026221216558E-4
lol :1.331026221216558E-4
lmao :1.331026221216558E-4
find :1.331026221216558E-4
hide :1.331026221216558E-4
body :1.331026221216558E-4
registered :1.331026221216558E-4
developer :1.331026221216558E-4
appreciated :1.331026221216558E-4
wow :1.331026221216558E-4
deals :1.331026221216558E-4
ipad :1.331026221216558E-4
gen :1.331026221216558E-4
offers :1.331026221216558E-4
ipads :1.331026221216558E-4
learning :1.331026221216558E-4
trip :1.331026221216558E-4
hong :1.331026221216558E-4
kong :1.331026221216558E-4
gotta :1.331026221216558E-4
hand :1.331026221216558E-4
iphones :1.331026221216558E-4
apps :1.331026221216558E-4
dark :1.331026221216558E-4
hey :1.331026221216558E-4
send :1.331026221216558E-4

Topic:18
time :0.12238866809334556
yeah :0.08162641394069092
day :0.08162641394069092
macbook :0.0612452868643636
haven :0.0612452868643636
job :0.030673596249872617
professional :0.030673596249872617
forget :0.030673596249872617
cool :0.030673596249872617
switch :0.020483032711708957
miss :0.020483032711708957
company :0.020483032711708957
life :0.020483032711708957
ipod :0.020483032711708957
share :0.020483032711708957
touchscreen :0.020483032711708957
talk :0.020483032711708957
break :0.010292469173545298
incredible :0.010292469173545298
offering :0.010292469173545298
water :0.010292469173545298
changed :0.010292469173545298
selling :0.010292469173545298
good :0.010292469173545298
winning :0.010292469173545298
contact :0.010292469173545298
november :0.010292469173545298
purchase :0.010292469173545298
innovators :0.010292469173545298
nov :0.010292469173545298
psfk :0.010292469173545298
mouse :0.010292469173545298
home :0.010292469173545298
sending :0.010292469173545298
bullshit :0.010292469173545298
amp :0.010292469173545298
broken :0.010292469173545298
tuesday :0.010292469173545298
late :0.010292469173545298
emotions :0.010292469173545298
iphone :1.0190563538163661E-4
crack :1.0190563538163661E-4
adding :1.0190563538163661E-4
support :1.0190563538163661E-4
announced :1.0190563538163661E-4
youtube :1.0190563538163661E-4
video :1.0190563538163661E-4
guy :1.0190563538163661E-4
siri :1.0190563538163661E-4
pretty :1.0190563538163661E-4
love :1.0190563538163661E-4
rim :1.0190563538163661E-4
made :1.0190563538163661E-4
easy :1.0190563538163661E-4
realized :1.0190563538163661E-4
ios :1.0190563538163661E-4
current :1.0190563538163661E-4
blackberry :1.0190563538163661E-4
user :1.0190563538163661E-4
bit :1.0190563538163661E-4
disappointed :1.0190563538163661E-4
move :1.0190563538163661E-4
android :1.0190563538163661E-4
things :1.0190563538163661E-4
sooo :1.0190563538163661E-4
glad :1.0190563538163661E-4
gave :1.0190563538163661E-4
sense :1.0190563538163661E-4
humor :1.0190563538163661E-4
great :1.0190563538163661E-4
personal :1.0190563538163661E-4
event :1.0190563538163661E-4
tonight :1.0190563538163661E-4
store :1.0190563538163661E-4
companies :1.0190563538163661E-4
experience :1.0190563538163661E-4
customer :1.0190563538163661E-4
service :1.0190563538163661E-4
apply :1.0190563538163661E-4
hope :1.0190563538163661E-4
call :1.0190563538163661E-4
lol :1.0190563538163661E-4
lmao :1.0190563538163661E-4
find :1.0190563538163661E-4
hide :1.0190563538163661E-4
body :1.0190563538163661E-4
registered :1.0190563538163661E-4
developer :1.0190563538163661E-4
appreciated :1.0190563538163661E-4
wow :1.0190563538163661E-4
deals :1.0190563538163661E-4
ipad :1.0190563538163661E-4
gen :1.0190563538163661E-4
offers :1.0190563538163661E-4
ipads :1.0190563538163661E-4
learning :1.0190563538163661E-4
trip :1.0190563538163661E-4
hong :1.0190563538163661E-4
kong :1.0190563538163661E-4
gotta :1.0190563538163661E-4

Topic:19
users :0.08789641171952156
blackberry :0.06594974212663228
technology :0.06594974212663228
work :0.06594974212663228
feel :0.054976407330187646
impressive :0.054976407330187646
power :0.054976407330187646
email :0.044003072533743005
helps :0.044003072533743005
gave :0.033029737737298365
ipad :0.022056402940853724
telegraph :0.022056402940853724
enterprise :0.022056402940853724
fail :0.022056402940853724
hell :0.022056402940853724
disappointed :0.011083068144409087
making :0.011083068144409087
lock :0.011083068144409087
unlocking :0.011083068144409087
worst :0.011083068144409087
boo :0.011083068144409087
retail :0.011083068144409087
write :0.011083068144409087
threat :0.011083068144409087
efficient :0.011083068144409087
carriers :0.011083068144409087
high :0.011083068144409087
systems :0.011083068144409087
proves :0.011083068144409087
capability :0.011083068144409087
personalization :0.011083068144409087
secure :0.011083068144409087
names :0.011083068144409087
hack :0.011083068144409087
report :0.011083068144409087
hacked :0.011083068144409087
put :0.011083068144409087
iphone :1.097333479644464E-4
crack :1.097333479644464E-4
adding :1.097333479644464E-4
support :1.097333479644464E-4
announced :1.097333479644464E-4
youtube :1.097333479644464E-4
video :1.097333479644464E-4
guy :1.097333479644464E-4
siri :1.097333479644464E-4
pretty :1.097333479644464E-4
love :1.097333479644464E-4
rim :1.097333479644464E-4
made :1.097333479644464E-4
easy :1.097333479644464E-4
switch :1.097333479644464E-4
yeah :1.097333479644464E-4
realized :1.097333479644464E-4
ios :1.097333479644464E-4
current :1.097333479644464E-4
user :1.097333479644464E-4
bit :1.097333479644464E-4
move :1.097333479644464E-4
android :1.097333479644464E-4
things :1.097333479644464E-4
sooo :1.097333479644464E-4
glad :1.097333479644464E-4
sense :1.097333479644464E-4
humor :1.097333479644464E-4
great :1.097333479644464E-4
personal :1.097333479644464E-4
event :1.097333479644464E-4
tonight :1.097333479644464E-4
store :1.097333479644464E-4
companies :1.097333479644464E-4
experience :1.097333479644464E-4
customer :1.097333479644464E-4
service :1.097333479644464E-4
apply :1.097333479644464E-4
job :1.097333479644464E-4
hope :1.097333479644464E-4
call :1.097333479644464E-4
lol :1.097333479644464E-4
lmao :1.097333479644464E-4
find :1.097333479644464E-4
hide :1.097333479644464E-4
body :1.097333479644464E-4
registered :1.097333479644464E-4
developer :1.097333479644464E-4
appreciated :1.097333479644464E-4
wow :1.097333479644464E-4
deals :1.097333479644464E-4
gen :1.097333479644464E-4
offers :1.097333479644464E-4
ipads :1.097333479644464E-4
learning :1.097333479644464E-4
trip :1.097333479644464E-4
hong :1.097333479644464E-4
kong :1.097333479644464E-4
gotta :1.097333479644464E-4
hand :1.097333479644464E-4
iphones :1.097333479644464E-4
apps :1.097333479644464E-4
dark :1.097333479644464E-4

Topic:20
free :0.10385064177362895
video :0.06495527032283159
waiting :0.05199014650589913
dear :0.05199014650589913
send :0.03902502268896668
check :0.03902502268896668
tools :0.03902502268896668
sad :0.03902502268896668
youtube :0.026059898872034228
hey :0.026059898872034228
tool :0.026059898872034228
page :0.026059898872034228
blown :0.026059898872034228
family :0.026059898872034228
tweets :0.026059898872034228
adding :0.013094775055101777
tonight :0.013094775055101777
dark :0.013094775055101777
burn :0.013094775055101777
ceo :0.013094775055101777
company :0.013094775055101777
god :0.013094775055101777
missed :0.013094775055101777
build :0.013094775055101777
htc :0.013094775055101777
loves :0.013094775055101777
verizon :0.013094775055101777
back :0.013094775055101777
west :0.013094775055101777
parents :0.013094775055101777
kids :0.013094775055101777
students :0.013094775055101777
fan :0.013094775055101777
turn :0.013094775055101777
beta :0.013094775055101777
promise :0.013094775055101777
mad :0.013094775055101777
tweeted :0.013094775055101777
iphone :1.2965123816932454E-4
crack :1.2965123816932454E-4
support :1.2965123816932454E-4
announced :1.2965123816932454E-4
guy :1.2965123816932454E-4
siri :1.2965123816932454E-4
pretty :1.2965123816932454E-4
love :1.2965123816932454E-4
rim :1.2965123816932454E-4
made :1.2965123816932454E-4
easy :1.2965123816932454E-4
switch :1.2965123816932454E-4
yeah :1.2965123816932454E-4
realized :1.2965123816932454E-4
ios :1.2965123816932454E-4
current :1.2965123816932454E-4
blackberry :1.2965123816932454E-4
user :1.2965123816932454E-4
bit :1.2965123816932454E-4
disappointed :1.2965123816932454E-4
move :1.2965123816932454E-4
android :1.2965123816932454E-4
things :1.2965123816932454E-4
sooo :1.2965123816932454E-4
glad :1.2965123816932454E-4
gave :1.2965123816932454E-4
sense :1.2965123816932454E-4
humor :1.2965123816932454E-4
great :1.2965123816932454E-4
personal :1.2965123816932454E-4
event :1.2965123816932454E-4
store :1.2965123816932454E-4
companies :1.2965123816932454E-4
experience :1.2965123816932454E-4
customer :1.2965123816932454E-4
service :1.2965123816932454E-4
apply :1.2965123816932454E-4
job :1.2965123816932454E-4
hope :1.2965123816932454E-4
call :1.2965123816932454E-4
lol :1.2965123816932454E-4
lmao :1.2965123816932454E-4
find :1.2965123816932454E-4
hide :1.2965123816932454E-4
body :1.2965123816932454E-4
registered :1.2965123816932454E-4
developer :1.2965123816932454E-4
appreciated :1.2965123816932454E-4
wow :1.2965123816932454E-4
deals :1.2965123816932454E-4
ipad :1.2965123816932454E-4
gen :1.2965123816932454E-4
offers :1.2965123816932454E-4
ipads :1.2965123816932454E-4
learning :1.2965123816932454E-4
trip :1.2965123816932454E-4
hong :1.2965123816932454E-4
kong :1.2965123816932454E-4
gotta :1.2965123816932454E-4
hand :1.2965123816932454E-4
iphones :1.2965123816932454E-4
apps :1.2965123816932454E-4

